City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nakamura,JP,32.9833,132.9333,43.0,90,5,3.96,clear sky
80,Ostrovnoy,RU,68.0531,39.5131,15.21,91,100,3.98,overcast clouds
81,Siteki,SZ,-26.45,31.95,78.8,89,93,14.97,overcast clouds
82,Namwala,ZM,-15.7504,26.4384,72.72,70,49,4.09,scattered clouds
83,Cherskiy,RU,68.75,161.3,-31.95,95,100,4.56,overcast clouds
84,Meulaboh,ID,4.1363,96.1285,74.03,92,100,3.89,overcast clouds
85,Teknaf,BD,20.8624,92.3058,68.34,71,2,9.37,clear sky
86,Paso De Carrasco,UY,-34.8603,-56.0522,93.34,48,40,12.66,scattered clouds
87,Antofagasta,CL,-23.65,-70.4,70.88,64,94,7.76,overcast clouds
88,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.24,41,40,25.32,scattered clouds
89,Tautira,PF,-17.7333,-149.15,76.3,77,100,7.7,light rain
90,Isilkul,RU,54.9109,71.2728,14.04,95,100,5.41,light snow
91,Pacific Grove,US,36.6177,-121.9166,48.78,82,100,12.66,overcast clouds
92,Bonthe,SL,7.5264,-12.505,81.81,74,74,10.11,broken clouds
93,Panguna,PG,-6.3164,155.4848,68.32,96,71,1.95,broken clouds
94,Constitucion,CL,-35.3333,-72.4167,71.58,50,41,20.98,scattered clouds
95,Atambua,ID,-9.1061,124.8925,74.17,81,99,2.19,overcast clouds
96,Husavik,IS,66.0449,-17.3389,23.94,88,57,12.48,broken clouds
97,Naze,JP,28.3667,129.4833,59.92,66,72,14.38,broken clouds
98,Saldanha,ZA,-33.0117,17.9442,68.05,86,95,10.33,overcast clouds
99,Souillac,MU,-20.5167,57.5167,77.38,73,40,6.91,scattered clouds
100,Solnechnyy,RU,50.7214,136.6319,-3.26,92,43,3.51,scattered clouds
101,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,40,6.91,light rain
102,Yulara,AU,-25.2406,130.9889,66.02,46,19,24.96,few clouds
103,Jizan,SA,17.3333,42.6667,81.54,70,2,1.34,clear sky
104,De Aar,ZA,-30.6497,24.0123,71.96,61,92,10.8,light rain
105,Searcy,US,35.2506,-91.7363,50.0,92,100,9.22,overcast clouds
106,Yellowknife,CA,62.456,-114.3525,-10.68,77,75,4.61,light snow
107,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,0,10.36,clear sky
108,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,47,12.21,scattered clouds
109,Noumea,NC,-22.2763,166.4572,79.0,99,30,9.06,scattered clouds
110,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,66,0,8.05,clear sky
111,Karratha,AU,-20.7377,116.8463,86.77,30,15,16.89,few clouds
112,Jining,CN,35.405,116.5814,29.77,37,58,7.0,broken clouds
